Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
cellular macromolecule biosynthetic process (GO:0034645),93/314,1.93E-61,4.73E-59,0,0,13.71596683,1917.522507,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;PTMS;RPS15;EEF1B2;RPS4X;RPS14;MRPL42;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPSA;RPS3A;MRPL52;EEF1A1;EEF1G;EEF1D;RPL37A;RPL24;RPL27;RPL26;TOP1;RPL29;RPL28;PTMA;SET;RPL10;RPL12;RPL11;RPL36A;RRBP1;GSPT1;TBRG1;RPL14;RPS3;RPL13;POLR2F;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;POLR2L;RPL41;RPL35A;RPL23A;MRPL23;EEF2;RPS26;RPS25;RPS28;GOLPH3;RPS29;RPL27A;RPS20;RPS21;RPS24;EIF4G2;RPS23;EIF4G1
gene expression (GO:0010467),94/356,4.04E-57,9.09E-55,0,0,11.68882364,1517.815595,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;HNRNPU;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;MRPL42;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;SEC13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS21;RPL13A;RPSA;RPS3A;THOC7;MRPL52;EEF1A1;RPL37A;RPL24;SRSF3;RPL27;RPL26;SRSF5;RPL29;RPL28;PTMA;RPL10;RPL12;RPL11;RPL36A;RRBP1;GSPT1;HSPD1;RPL14;RPS3;RPL13;POLR2F;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;POLR2L;RPL41;ALYREF;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS28;GOLPH3;HNRNPK;RPS29;RPL27A;HNRNPA2B1;RPS20;STUB1;RPS21;RPS24;RPS23;EIF4G1
cellular protein metabolic process (GO:0044267),96/417,1.73E-52,3.59E-50,0,0,9.746557445,1161.665916,RPL4;RPL5;APP;RPL3;RPL32;RPL31;RPLP1;RPLP0;UBE2D3;RPL8;RPL10A;RPL9;RPL6;RPL7;UBE2L3;RPS15;RPS4X;MRPL42;UBL5;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;MRPS21;RPSA;RPS3A;PDIA6;MRPL52;EEF1A1;FDX1;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPN2;RPL10;RPL12;RPN1;RPL11;RPL36A;NEDD8;RRBP1;GSPT1;HSP90B1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS28;SPCS1;RPS29;UBE2S;RPL27A;NUCB1;RPS20;P4HB;RPS21;RPS24;EIF4G1;RPS23;UBE2M
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",33/39,4.12E-43,7.94E-41,0,0,164.4465944,16049.40381,NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS2
rRNA metabolic process (GO:0016072),56/162,3.06E-41,5.52E-39,0,0,16.29425482,1520.025688,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS24
rRNA processing (GO:0006364),57/173,1.25E-40,2.11E-38,0,0,15.17192871,1393.979852,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;EIF6;RPL27A;RPS24
ribosome biogenesis (GO:0042254),59/192,4.63E-40,7.35E-38,0,0,13.72898375,1243.456072,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;NPM1;RPL35A;RPL23A;RPS25;RPS28;EIF6;RPL27A;RPS24;RAN
ncRNA processing (GO:0034470),58/201,1.10E-37,1.65E-35,0,0,12.525748,1065.950457,RPL4;RPL5;RPL3;RPL32;RPL31;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL41;SSB;RPL35A;RPL23A;RPS25;RPS28;RPL27A;HNRNPA2B1;RPS24
mitochondrial respiratory chain complex I assembly (GO:0032981),32/58,4.56E-32,6.16E-30,0,0,36.70431578,2648.768674,NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS2
NADH dehydrogenase complex assembly (GO:0010257),32/58,4.56E-32,6.16E-30,0,0,36.70431578,2648.768674,NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS2
mitochondrial respiratory chain complex assembly (GO:0033108),33/90,1.05E-25,1.35E-23,0,0,17.26446146,993.0067672,NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;UQCRFS1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS2
pre-replicative complex assembly (GO:0036388),26/64,7.07E-22,8.68E-20,0,0,20.20464254,983.9954821,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;PSMD1;RPS27A;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;UBA52
regulation of mRNA stability (GO:0043488),36/146,3.08E-21,3.62E-19,0,0,9.777972572,461.8003355,PSMD11;SET;YWHAB;HNRNPU;YBX1;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMB3;PSMD2;UBC;PSMB1;PSMD1;RPS27A;HSPA8;NPM1;YWHAZ;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;SERBP1;PABPC1;UBA52;EIF4G1
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),27/75,5.12E-21,5.76E-19,0,0,16.62739647,776.8516403,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;PSMD1;RPS27A;RBX1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;UBA52
regulation of mRNA catabolic process (GO:0061013),33/122,6.16E-21,6.65E-19,0,0,11.03864751,513.7014924,PSMD11;SET;YWHAB;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMB3;PSMD2;UBC;PSMB1;PSMD1;RPS27A;HSPA8;YWHAZ;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;SERBP1;PABPC1;UBA52;EIF4G1
regulation of cellular amine metabolic process (GO:0033238),23/51,9.04E-21,9.39E-19,0,0,24.15826437,1114.978872,PSMD11;OAZ1;PSMA7;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1
anaphase-promoting complex-dependent catabolic process (GO:0031145),28/84,1.08E-20,1.08E-18,0,0,14.79646697,680.2894499,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;PSMD1;RPS27A;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;UBE2S;ANAPC5;UBA52
interleukin-1-mediated signaling pathway (GO:0070498),29/94,2.57E-20,2.48E-18,0,0,13.21713609,596.1900241,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;PSMD1;RPS27A;RBX1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;UBE2N;SQSTM1;UBA52
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),28/87,3.19E-20,2.97E-18,0,0,14.04191726,630.3490981,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;PSMD1;RPS27A;RBX1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;UBA52;ATF4
regulation of cellular amino acid metabolic process (GO:0006521),23/54,4.53E-20,4.08E-18,0,0,21.81697482,971.74749,PSMD11;OAZ1;PSMA7;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1
cellular response to hypoxia (GO:0071456),33/131,6.94E-20,6.05E-18,0,0,10.02020282,442.0371995,PSMD11;HP1BP3;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;FAM162A;PSMB3;PSMD2;UBC;LMNA;PSMB1;PGK1;PSMD1;RPS27A;RBX1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;STUB1;P4HB;UBA52
negative regulation of cell cycle G2/M phase transition (GO:1902750),23/57,2.01E-19,1.70E-17,0,0,19.88885402,856.2069837,PSMD11;PSMA7;RBX1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1
"Wnt signaling pathway, planar cell polarity pathway (GO:0060071)",27/85,2.23E-19,1.83E-17,0,0,13.75346414,590.6714872,PSMD11;PSMA7;PSMD8;CDC42;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;AP2S1;PSMD1;RAC1;AP2M1;RHOA;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2
ribonucleoprotein complex assembly (GO:0022618),33/136,2.43E-19,1.93E-17,0,0,9.531305419,408.51699,RPL5;RPL3;HSP90AB1;RPL10;DDX1;RPLP0;RPL11;RPS27L;RPL6;RPS15;RPS14;MRPL20;SNRPD2;PUF60;EIF4H;RPL38;TXNL4A;EIF4B;HSP90AA1;RPS5;PTGES3;RPSA;RPL23A;EIF2S2;RPS28;EIF5;EIF6;RPL24;STRAP;SNRPF;SRSF5;EIF3A;SNRPB
regulation of establishment of planar polarity (GO:0090175),27/88,6.18E-19,4.77E-17,0,0,13.07502766,548.2124291,PSMD11;PSMA7;PSMD8;CDC42;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;AP2S1;PSMD1;RAC1;AP2M1;RHOA;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2
regulation of cellular ketone metabolic process (GO:0010565),23/64,4.45E-18,3.34E-16,0,0,16.48720999,658.7338193,PSMD11;OAZ1;PSMA7;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)",24/73,9.12E-18,6.66E-16,0,0,14.4112167,565.4324967,PDIA3;PSMD11;PSMA7;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1;CALR
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),23/66,9.91E-18,7.04E-16,0,0,15.71873227,615.4347284,PSMD11;PSMA7;RBX1;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1
non-canonical Wnt signaling pathway (GO:0035567),30/124,1.16E-17,8.03E-16,0,0,9.454971642,368.7007344,PSMD11;PSMA7;PSMD8;CDC42;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;AP2S1;PSMD1;RAC1;AP2M1;RHOA;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;GNB1;CTNNB1;CALM1
regulation of mitotic cell cycle phase transition (GO:1901990),36/188,2.24E-17,1.51E-15,0,0,7.060694115,270.6866254,YWHAE;PSMD11;DCTN2;DCTN3;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PPP2R1A;PSMB3;PSMD2;UBC;PSMB1;PSMD1;RPS27A;HSP90AA1;DYNLL1;TUBB4B;DDB1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;UBE2S;PSMA2;ANAPC5;UBA52
antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590),24/78,5.19E-17,3.42E-15,0,0,13.07345208,490.2145156,PDIA3;PSMD11;PSMA7;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMA3;PSMB4;PSMC5;PSMD7;PSMA4;PSMB5;PSMC6;PSMD4;PSMB2;PSMC3;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1;CALR
protein-DNA complex assembly (GO:0065004),31/143,9.65E-17,6.20E-15,0,0,8.204902447,302.5734291,PSMD11;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMB3;PSMD2;UBC;PSMB1;PSMD1;RPS27A;NPM1;SMARCA5;RBX1;DDB1;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMC3;PSMA2;ANP32B;UBA52
