Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
mitochondrial translational elongation (GO:0070125),8/89,1.32E-05,0.001265566,0,0,8.233940155,92.51405886,GADD45GIP1;MRPS25;MRPS18B;MRPS18A;MRPL15;MRPL35;CHCHD1;MRPL43
mitochondrial translational termination (GO:0070126),8/89,1.32E-05,0.001265566,0,0,8.233940155,92.51405886,GADD45GIP1;MRPS25;MRPS18B;MRPS18A;MRPL15;MRPL35;CHCHD1;MRPL43
maturation of LSU-rRNA (GO:0000470),26-May,1.38E-05,0.001265566,0,0,19.66029089,219.9598398,BOP1;ZNHIT6;RPF2;WDR12;FTSJ3
ribosomal subunit export from nucleus (GO:0000054),13-Apr,1.42E-05,0.001265566,0,0,36.56851852,408.2572183,RRS1;NMD3;SDAD1;NOP9
translational termination (GO:0006415),8/96,2.30E-05,0.001941719,0,0,7.576271186,80.90668905,GADD45GIP1;MRPS25;MRPS18B;MRPS18A;MRPL15;MRPL35;CHCHD1;MRPL43
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",30-May,2.88E-05,0.002254424,0,0,16.51129707,172.6217345,UTP6;RRS1;UTP20;WDR46;NOP9
DNA-dependent DNA replication (GO:0006261),9/129,2.97E-05,0.002254424,0,0,6.266808511,65.32695169,POLE4;PSMD14;PSME3;PSMD3;ORC2;DDX23;POLD2;HMGA1;NOC3L
ribosome assembly (GO:0042255),6/50,3.14E-05,0.002272668,0,0,11.29411765,117.0909429,BOP1;RRS1;DHX29;RPF2;RSL24D1;MDN1
translational elongation (GO:0006414),8/104,4.11E-05,0.002838463,0,0,6.942090395,70.10538732,GADD45GIP1;MRPS25;MRPS18B;MRPS18A;MRPL15;CHCHD1;MRPL35;MRPL43
mitochondrial translation (GO:0032543),8/105,4.41E-05,0.002908434,0,0,6.870172986,68.90642904,GADD45GIP1;MRPS25;MRPS18B;MRPS18A;MRPL15;CHCHD1;MRPL35;MRPL43
ribosomal large subunit export from nucleus (GO:0000055),07-Mar,6.05E-05,0.003829441,0,0,61.46887967,596.993847,RRS1;NMD3;SDAD1
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",08-Mar,9.60E-05,0.005604807,0,0,49.17261411,454.9048531,RRS1;UTP20;NOP9
leukocyte aggregation (GO:0070486),08-Mar,9.60E-05,0.005604807,0,0,49.17261411,454.9048531,IL1B;CD44;S100A8
protein methylation (GO:0006479),5/41,1.36E-04,0.007607682,0,0,11.45978615,102.0395353,PRMT5;PRMT7;PRMT3;FAM98B;FAM98A
tRNA modification (GO:0006400),6/65,1.40E-04,0.007607682,0,0,8.416322461,74.66575147,NSUN2;PUS1;TRMT6;TPRKB;THUMPD1;PUS7
"mRNA splicing, via spliceosome (GO:0000398)",12/274,1.46E-04,0.007630858,0,0,3.848512767,33.99548402,PRMT5;RBM17;PRMT7;PRPF3;DDX23;SNRNP48;SMN1;DDX41;GTF2F1;SNRNP200;GTF2F2;WDR77
pseudouridine synthesis (GO:0001522),13-Mar,4.69E-04,0.022946594,0,0,24.58008299,188.4247103,PUS1;GAR1;PUS7
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",13-Mar,4.69E-04,0.022946594,0,0,24.58008299,188.4247103,RRS1;UTP20;NOP9
"regulation of gene expression, epigenetic (GO:0040029)",6/82,5.01E-04,0.023757237,0,0,6.528084918,49.60875264,PRMT7;AEBP2;MYBBP1A;SMYD5;POLR1B;POLR1E
nucleoside triphosphate metabolic process (GO:0009141),14-Mar,5.91E-04,0.02718826,0,0,22.34439834,166.0995748,NME2;DCTPP1;ITPA
RNA modification (GO:0009451),5/58,7.02E-04,0.031337896,0,0,7.777295334,56.47650689,NSUN2;TRMT6;THUMPD1;PUS7;FTSJ3
mRNA methylation (GO:0080009),15-Mar,7.32E-04,0.031755549,0,0,20.4813278,147.8647147,NSUN2;TRMT6;METTL16
maturation of SSU-rRNA (GO:0030490),4/35,8.41E-04,0.035450872,0,0,10.60483871,75.09538106,UTP6;RIOK1;NOL11;WDR46
regulation of stem cell differentiation (GO:2000736),6/91,8.71E-04,0.035714649,0,0,5.834206624,41.11030171,PSMD14;SMYD5;NSUN2;PSME3;PSMD3;PUS7
rRNA transcription (GO:0009303),18-Mar,0.001278071,0.050565435,0,0,16.38257261,109.1473021,GTF3C5;GTF3C6;POLR1E
translation (GO:0006412),9/214,0.001299112,0.050565435,0,0,3.652496108,24.27476068,AIMP2;COPS5;PPA1;PABPC4;MRPS18B;MRPS18A;MRPL35;RSL24D1;MRPL43
nucleoside triphosphate catabolic process (GO:0009143),05-Feb,0.00144679,0.051075054,0,0,54.41597796,355.7938614,DCTPP1;ITPA
"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)",05-Feb,0.00144679,0.051075054,0,0,54.41597796,355.7938614,UTP20;NOP9
"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)",05-Feb,0.00144679,0.051075054,0,0,54.41597796,355.7938614,UTP20;NOP9
rRNA 5'-end processing (GO:0000967),05-Feb,0.00144679,0.051075054,0,0,54.41597796,355.7938614,UTP20;NOP9
"transcription, DNA-templated (GO:0006351)",9/221,0.001622092,0.055962164,0,0,3.530630269,22.68090576,PRMT5;GTF3C5;GTF3C6;POLR3G;SMN1;MED4;GTF2F1;PWP1;GTF2F2
positive regulation of cellular process (GO:0048522),17/625,0.001801925,0.06078495,0,0,2.358538141,14.90336552,MTPN;CSF1;HMGA2;PHB;DNPH1;CXCL5;WDR77;FOSL1;PAK1;CSPP1;IL1B;EXOSC9;FAM98B;TIMP1;P4HB;FAM98A;S100A8
rRNA modification (GO:0000154),21-Mar,0.002027672,0.066913162,0,0,13.65006916,84.64226541,GAR1;THUMPD1;FTSJ3
5S class rRNA transcription by RNA polymerase III (GO:0042791),06-Feb,0.002152734,0.068080203,0,0,40.80991736,250.6143866,GTF3C5;GTF3C6
tRNA pseudouridine synthesis (GO:0031119),06-Feb,0.002152734,0.068080203,0,0,40.80991736,250.6143866,PUS1;PUS7
posttranscriptional regulation of gene expression (GO:0010608),4/46,0.002359828,0.073106505,0,0,7.823015873,47.32272626,MTPN;NOLC1;METTL16;PUM3
positive regulation of transcription by RNA polymerase I (GO:0045943),23-Mar,0.002651938,0.075993921,0,0,12.28381743,72.87330978,DHX33;NOL11;PWP1
protein alkylation (GO:0008213),23-Mar,0.002651938,0.075993921,0,0,12.28381743,72.87330978,PRMT3;FAM98B;FAM98A
base-excision repair (GO:0006284),4/48,0.002760927,0.075993921,0,0,7.466666667,43.9950101,APEX1;POLD2;HMGA2;LIG3
regulation of protein metabolic process (GO:0051246),4/48,0.002760927,0.075993921,0,0,7.466666667,43.9950101,MTPN;TRAF3;PLAUR;GSAP
regulation of cellular protein metabolic process (GO:0032268),4/49,0.002977963,0.075993921,0,0,7.30037037,42.46271942,MTPN;CSF1;NOLC1;PUM3
regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372),07-Feb,0.002989614,0.075993921,0,0,32.64628099,189.7601315,FLNA;SCN5A
positive regulation of humoral immune response (GO:0002922),07-Feb,0.002989614,0.075993921,0,0,32.64628099,189.7601315,IL1B;PHB
tRNA transcription by RNA polymerase III (GO:0042797),07-Feb,0.002989614,0.075993921,0,0,32.64628099,189.7601315,GTF3C5;GTF3C6
mRNA pseudouridine synthesis (GO:1990481),07-Feb,0.002989614,0.075993921,0,0,32.64628099,189.7601315,PUS1;PUS7
purine nucleotide metabolic process (GO:0006163),24-Mar,0.003003712,0.075993921,0,0,11.69828097,67.94252004,PRPS1;DNPH1;ITPA
heterochromatin assembly (GO:0031507),24-Mar,0.003003712,0.075993921,0,0,11.69828097,67.94252004,HMGA1;HMGA2;RRP8
regulation of intrinsic apoptotic signaling pathway (GO:2001242),4/52,0.00369844,0.089588228,0,0,6.843055556,38.3200447,PLAUR;P4HB;NOC2L;S100A8
histone methylation (GO:0016571),26-Mar,0.003789955,0.089588228,0,0,10.6799567,59.54504194,PRMT5;PRMT7;SMYD2
peptide biosynthetic process (GO:0043043),7/162,0.003802958,0.089588228,0,0,3.735048319,20.81159999,COPS5;PABPC4;MRPS18B;MRPS18A;RSL24D1;MRPL35;MRPL43
box C/D snoRNP assembly (GO:0000492),08-Feb,0.003954158,0.089588228,0,0,27.20385675,150.5186046,RUVBL2;ZNHIT6
regulation of protein localization to nucleolus (GO:1904749),08-Feb,0.003954158,0.089588228,0,0,27.20385675,150.5186046,PINX1;NMD3
regulation of RNA biosynthetic process (GO:2001141),08-Feb,0.003954158,0.089588228,0,0,27.20385675,150.5186046,IL1B;NMD3
tRNA transcription (GO:0009304),08-Feb,0.003954158,0.089588228,0,0,27.20385675,150.5186046,GTF3C5;GTF3C6
nucleobase-containing small molecule interconversion (GO:0015949),27-Mar,0.00422568,0.093265667,0,0,10.23443983,55.94733421,NME2;NME4;AK6
regulation of proteolysis (GO:0030162),4/54,0.004239348,0.093265667,0,0,6.568666667,35.88689667,DNAJC1;TRAF3;PLAUR;GSAP
transcription by RNA polymerase III (GO:0006383),28-Mar,0.004690584,0.101718672,0,0,9.824564315,52.68126016,GTF3C5;GTF3C6;POLR3G
peptidyl-cysteine modification (GO:0018198),09-Feb,0.005043151,0.102804436,0,0,23.31641086,123.3373842,CHCHD4;S100A8
exonucleolytic trimming involved in rRNA processing (GO:0000459),09-Feb,0.005043151,0.102804436,0,0,23.31641086,123.3373842,ERI1;EXOSC9
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)",09-Feb,0.005043151,0.102804436,0,0,23.31641086,123.3373842,ERI1;EXOSC9
histone arginine methylation (GO:0034969),09-Feb,0.005043151,0.102804436,0,0,23.31641086,123.3373842,PRMT5;PRMT7
negative regulation of cell cycle G2/M phase transition (GO:1902750),4/57,0.005146994,0.102804436,0,0,6.19591195,32.64838152,PSMD14;PSME3;PINX1;PSMD3
"positive regulation of gene expression, epigenetic (GO:0045815)",4/57,0.005146994,0.102804436,0,0,6.19591195,32.64838152,MYBBP1A;POLR1B;HMGA1;POLR1E
cellular macromolecule biosynthetic process (GO:0034645),10/314,0.005380805,0.106078724,0,0,2.734480432,14.28743415,COPS5;PABPC4;ORC2;POLD2;MRPS18B;MRPS18A;PWP1;MRPL35;RSL24D1;MRPL43
positive regulation of cell population proliferation (GO:0008284),13/474,0.005671898,0.110383862,0,0,2.355457269,12.18297019,CSF1;NME2;HMGA2;PHB;CXCL5;WDR77;FOSL1;PAK1;IL1B;FAM98B;TIMP1;SCN5A;FAM98A
RNA methylation (GO:0001510),4/60,0.006176385,0.114370113,0,0,5.863095238,29.82569477,NSUN2;TRMT6;METTL16;FTSJ3
regulation of microtubule nucleation (GO:0010968),10-Feb,0.006253438,0.114370113,0,0,20.40082645,103.5265201,PAK1;RANGRF
rRNA 3'-end processing (GO:0031125),10-Feb,0.006253438,0.114370113,0,0,20.40082645,103.5265201,ERI1;EXOSC9
small nucleolar ribonucleoprotein complex assembly (GO:0000491),10-Feb,0.006253438,0.114370113,0,0,20.40082645,103.5265201,RUVBL2;ZNHIT6
positive regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901838),10-Feb,0.006253438,0.114370113,0,0,20.40082645,103.5265201,NOL11;PWP1
regulation of cellular amide metabolic process (GO:0034248),3/32,0.006852323,0.123831265,0,0,8.467735012,42.19614249,MTPN;NOLC1;PUM3
regulation of histone acetylation (GO:0035065),3/33,0.007470587,0.133415899,0,0,8.185062241,40.08046275,RUVBL2;IL1B;NOC2L
regulation of intracellular signal transduction (GO:1902531),12/437,0.007661315,0.133682872,0,0,2.352657201,11.461138,PRMT5;BOP1;PAK1;TRAF3;PRKAR2A;IL1B;RRS1;ARHGDIG;SMYD2;NOC2L;RPF2;ITFG2
tRNA processing (GO:0008033),4/64,0.007749732,0.133682872,0,0,5.471111111,26.59013098,NSUN2;TRMT6;FAM98B;THUMPD1
pre-replicative complex assembly (GO:0036388),4/64,0.007749732,0.133682872,0,0,5.471111111,26.59013098,PSMD14;PSME3;PSMD3;ORC2
positive regulation of vasculature development (GO:1904018),5/102,0.008286856,0.141342112,0,0,4.239960316,20.32248846,IL1B;ADAM12;HMGA2;ANGPTL4;HK2
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),4/66,0.00862663,0.145502485,0,0,5.294086022,25.16226888,PSMD14;PSME3;PINX1;PSMD3
"base-excision repair, gap-filling (GO:0006287)",3/35,0.008803304,0.146850718,0,0,7.672717842,36.31212068,APEX1;POLD2;LIG3
positive regulation of cellular senescence (GO:2000774),12-Feb,0.009025566,0.14888285,0,0,16.31900826,76.82489757,HMGA1;HMGA2
regulation of mRNA stability (GO:0043488),6/146,0.009121281,0.14888285,0,0,3.532292917,16.59169198,PSMD14;PSME3;EXOSC9;APEX1;PSMD3;METTL16
protein localization to nucleus (GO:0034504),5/106,0.00969752,0.156604629,0,0,4.071212561,18.8736737,PINX1;RRS1;NOL8;RPF2;TNPO3
neutrophil chemotaxis (GO:0030593),4/70,0.010569461,0.160625391,0,0,4.972222222,22.62254923,CXCL3;CXCL2;CXCL5;S100A8
"DNA-templated transcription, termination (GO:0006353)",4/70,0.010569461,0.160625391,0,0,4.972222222,22.62254923,PRMT5;POLR1B;POLR1E;SMN1
purine nucleotide catabolic process (GO:0006195),13-Feb,0.010581383,0.160625391,0,0,14.83471074,67.47804294,DNPH1;ITPA
purine-containing compound catabolic process (GO:0072523),13-Feb,0.010581383,0.160625391,0,0,14.83471074,67.47804294,DNPH1;ITPA
positive regulation of cell aging (GO:0090343),13-Feb,0.010581383,0.160625391,0,0,14.83471074,67.47804294,HMGA1;HMGA2
spliceosomal tri-snRNP complex assembly (GO:0000244),13-Feb,0.010581383,0.160625391,0,0,14.83471074,67.47804294,USP4;PRPF3
DNA replication initiation (GO:0006270),3/38,0.011047759,0.165130435,0,0,7.01398933,31.60172297,POLE4;ORC2;NOC3L
regulation of hematopoietic stem cell differentiation (GO:1902036),4/71,0.011095721,0.165130435,0,0,4.897761194,22.04578186,PSMD14;PSME3;PSMD3;PUS7
Fc-epsilon receptor signaling pathway (GO:0038095),5/111,0.011682481,0.170551393,0,0,3.878187416,17.25663443,PAK1;PSMD14;PSME3;PSMD3;NFATC1
Fc receptor signaling pathway (GO:0038093),5/112,0.012110208,0.170551393,0,0,3.841747155,16.95634453,PAK1;PSMD14;PSME3;PSMD3;NFATC1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",8/251,0.012184507,0.170551393,0,0,2.722047848,11.99767107,RBM17;PRPF3;DDX23;SNRNP48;DDX41;GTF2F1;SNRNP200;GTF2F2
granulocyte chemotaxis (GO:0071621),4/73,0.012198221,0.170551393,0,0,4.75531401,20.9541255,CXCL3;CXCL2;CXCL5;S100A8
regulation of integrin-mediated signaling pathway (GO:2001044),14-Feb,0.012246444,0.170551393,0,0,13.59779614,59.86456507,FLNA;TIMP1
nucleoside phosphate catabolic process (GO:1901292),14-Feb,0.012246444,0.170551393,0,0,13.59779614,59.86456507,DCTPP1;ITPA
regulation of transcription of nucleolar large rRNA by RNA polymerase I (GO:1901836),14-Feb,0.012246444,0.170551393,0,0,13.59779614,59.86456507,NOL11;PWP1
regulation of signal transduction by p53 class mediator (GO:1901796),6/156,0.012371399,0.170725306,0,0,3.29512605,14.47340624,PRMT5;BOP1;RRS1;SMYD2;NOC2L;RPF2
regulation of hematopoietic progenitor cell differentiation (GO:1901532),4/75,0.013368538,0.182823786,0,0,4.620892019,19.93846178,PSMD14;PSME3;PSMD3;PUS7
cellular protein metabolic process (GO:0044267),11/417,0.013781912,0.183440815,0,0,2.25004757,9.640099981,COPS5;CSF1;PABPC4;MRPS18B;TNC;MRPS18A;TIMP1;P4HB;MRPL35;RSL24D1;MRPL43
positive regulation of angiogenesis (GO:0045766),5/116,0.01392733,0.183440815,0,0,3.702551924,15.82434477,IL1B;ADAM12;HMGA2;ANGPTL4;HK2
positive regulation of growth (GO:0045927),4/76,0.013979548,0.183440815,0,0,4.556481481,19.45690454,MTPN;EXOSC9;DNPH1;S100A8
peptidyl-arginine modification (GO:0018195),15-Feb,0.014017875,0.183440815,0,0,12.5511761,53.56116455,PRMT5;PRMT7
positive regulation of heterotypic cell-cell adhesion (GO:0034116),15-Feb,0.014017875,0.183440815,0,0,12.5511761,53.56116455,IL1B;CD44
negative regulation of protein catabolic process (GO:0042177),3/42,0.014509383,0.187923317,0,0,6.293329078,26.63940848,FLNA;PHB;TIMP1
neutrophil migration (GO:1990266),4/77,0.014608005,0.187923317,0,0,4.493835616,18.99178345,CXCL3;CXCL2;CXCL5;S100A8
cellular response to glucose starvation (GO:0042149),3/43,0.015459872,0.1972108,0,0,6.135684647,25.58278338,MYBBP1A;ITFG2;RRP8
nucleotide catabolic process (GO:0009166),16-Feb,0.015892855,0.197748807,0,0,11.6540732,48.26983817,DNPH1;ITPA
epiboly involved in wound healing (GO:0090505),16-Feb,0.015892855,0.197748807,0,0,11.6540732,48.26983817,FLNA;CD44
"mRNA cis splicing, via spliceosome (GO:0045292)",16-Feb,0.015892855,0.197748807,0,0,11.6540732,48.26983817,DDX23;SNRNP200
regulation of mRNA catabolic process (GO:0061013),5/122,0.016983333,0.209599185,0,0,3.51160462,14.31162476,PSMD14;PSME3;EXOSC9;APEX1;PSMD3
positive regulation of RNA metabolic process (GO:0051254),3/45,0.01746394,0.213792429,0,0,5.84291642,23.64988833,IL1B;NMD3;RIOK1
maturation of 5.8S rRNA (GO:0000460),17-Feb,0.017868616,0.21699647,0,0,10.87658402,43.77509009,WDR12;FTSJ3
spliceosomal complex assembly (GO:0000245),3/46,0.018517718,0.223094409,0,0,5.706745151,22.76436213,DDX23;SMN1;SNRNP200
negative regulation of programmed cell death (GO:0043069),10/381,0.018997176,0.227068608,0,0,2.23293478,8.850158716,COPS5;HAX1;NME2;PLAUR;FLNA;HMGA2;WDR73;ANGPTL4;MET;CD44
positive regulation of cell-cell adhesion (GO:0022409),3/47,0.019606089,0.231088725,0,0,5.576763485,21.92736062,IL1B;PLAUR;CD44
regulation of membrane depolarization (GO:0003254),18-Feb,0.019942439,0.231088725,0,0,10.19628099,39.91747333,RANGRF;SCN5A
DNA strand elongation involved in DNA replication (GO:0006271),18-Feb,0.019942439,0.231088725,0,0,10.19628099,39.91747333,POLD2;LIG3
regulation of transcription by RNA polymerase I (GO:0006356),18-Feb,0.019942439,0.231088725,0,0,10.19628099,39.91747333,DHX33;FLNA
establishment of protein localization to mitochondrion (GO:0072655),3/48,0.020729102,0.237168196,0,0,5.452558783,21.13529929,CHCHD4;TIMM23;HK2
DNA metabolic process (GO:0006259),8/277,0.020779559,0.237168196,0,0,2.455673871,9.512753907,POLE4;APEX1;ORC2;DDX23;POLD2;LIG3;NOC3L;DCTPP1
negative regulation of catabolic process (GO:0009895),3/49,0.021886787,0.246805145,0,0,5.333754285,20.38492694,IL1B;FLNA;PHB
regulation of autophagy of mitochondrion (GO:1903146),19-Feb,0.02211166,0.246805145,0,0,9.596013612,36.57664732,HAX1;CAMKK2
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745),19-Feb,0.02211166,0.246805145,0,0,9.596013612,36.57664732,PRMT5;PHB
regulation of type I interferon production (GO:0032479),4/89,0.023560578,0.258735787,0,0,3.857058824,14.45695228,DHX33;TRAF3;POLR3G;DDX41
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),4/89,0.023560578,0.258735787,0,0,3.857058824,14.45695228,PSMD14;PSME3;PSMD3;FBXO17
regulation of cellular amine metabolic process (GO:0033238),3/51,0.024306204,0.258735787,0,0,5.110995851,18.99769252,PSMD14;PSME3;PSMD3
negative regulation of protein ubiquitination (GO:0031397),3/51,0.024306204,0.258735787,0,0,5.110995851,18.99769252,USP4;PINX1;PRMT3
mitotic metaphase plate congression (GO:0007080),3/51,0.024306204,0.258735787,0,0,5.110995851,18.99769252,EML4;PINX1;RRS1
hepaticobiliary system development (GO:0061008),20-Feb,0.024373661,0.258735787,0,0,9.062442608,33.66019733,GFER;MET
positive regulation of peptidyl-lysine acetylation (GO:2000758),20-Feb,0.024373661,0.258735787,0,0,9.062442608,33.66019733,IL1B;RUVBL2
negative regulation of mitotic cell cycle phase transition (GO:1901991),4/92,0.026219505,0.272281072,0,0,3.725,13.56366247,PSMD14;PSME3;PINX1;PSMD3
cellular response to fibroblast growth factor stimulus (GO:0044344),4/92,0.026219505,0.272281072,0,0,3.725,13.56366247,FLRT2;GTF2F1;GTF2F2;CD44
post-translational protein modification (GO:0043687),9/345,0.026250129,0.272281072,0,0,2.213525836,8.057420806,COPS5;CSF1;PSMD14;PSME3;PSMD3;FBXO17;TNC;TIMP1;P4HB
negative regulation of reproductive process (GO:2000242),21-Feb,0.026725876,0.272281072,0,0,8.585036973,31.09606027,TIMP1;WDR77
focal adhesion assembly (GO:0048041),21-Feb,0.026725876,0.272281072,0,0,8.585036973,31.09606027,PEAK1;ACTN1
mitochondrial calcium ion transmembrane transport (GO:0006851),21-Feb,0.026725876,0.272281072,0,0,8.585036973,31.09606027,PMPCA;PHB
interleukin-1-mediated signaling pathway (GO:0070498),4/94,0.028088183,0.283444789,0,0,3.641851852,13.01017465,PSMD14;IL1B;PSME3;PSMD3
regulation of cellular amino acid metabolic process (GO:0006521),3/54,0.028195101,0.283444789,0,0,4.809616793,17.16363236,PSMD14;PSME3;PSMD3
regulation of cardiac muscle cell membrane repolarization (GO:0099623),22-Feb,0.029165786,0.285636534,0,0,8.155371901,28.82727405,FLNA;SCN5A
regulation of membrane protein ectodomain proteolysis (GO:0051043),22-Feb,0.029165786,0.285636534,0,0,8.155371901,28.82727405,IL1B;TIMP1
"positive regulation of DNA-templated transcription, initiation (GO:2000144)",22-Feb,0.029165786,0.285636534,0,0,8.155371901,28.82727405,FOSL1;MED4
rRNA methylation (GO:0031167),22-Feb,0.029165786,0.285636534,0,0,8.155371901,28.82727405,METTL16;FTSJ3
protein targeting to mitochondrion (GO:0006626),3/55,0.029560467,0.285813943,0,0,4.716884775,16.60964835,CHCHD4;TIMM23;PMPCA
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),3/55,0.029560467,0.285813943,0,0,4.716884775,16.60964835,USP4;PINX1;PRMT3
chemokine-mediated signaling pathway (GO:0070098),3/56,0.030960236,0.293334241,0,0,4.627652079,16.08132979,CXCL3;CXCL2;CXCL5
telomere maintenance (GO:0000723),3/56,0.030960236,0.293334241,0,0,4.627652079,16.08132979,APEX1;POLD2;TPRKB
gene expression (GO:0010467),9/356,0.031206234,0.293334241,0,0,2.142142375,7.427101938,COPS5;PABPC4;MRPS18B;MRPS18A;PWP1;MRPL35;RSL24D1;MRPL43;AGFG1
mRNA processing (GO:0006397),8/300,0.03138295,0.293334241,0,0,2.259577432,7.82150588,RBM17;PRPF3;DDX23;SNRNP48;DDX41;GTF2F1;SNRNP200;GTF2F2
nucleotide metabolic process (GO:0009117),23-Feb,0.031690919,0.293334241,0,0,7.766627312,26.8082624,NME2;NUDT5
positive regulation of histone acetylation (GO:0035066),23-Feb,0.031690919,0.293334241,0,0,7.766627312,26.8082624,IL1B;RUVBL2
hyaluronan metabolic process (GO:0030212),23-Feb,0.031690919,0.293334241,0,0,7.766627312,26.8082624,IL1B;CD44
cell-matrix adhesion (GO:0007160),4/100,0.034160535,0.309914631,0,0,3.413194444,11.52527992,PEAK1;ACTN1;ITGA7;CD44
"nucleotide-excision repair, DNA gap filling (GO:0006297)",24-Feb,0.034298852,0.309914631,0,0,7.41322314,25.00215795,POLD2;LIG3
"wound healing, spreading of cells (GO:0044319)",24-Feb,0.034298852,0.309914631,0,0,7.41322314,25.00215795,FLNA;CD44
protein exit from endoplasmic reticulum (GO:0032527),24-Feb,0.034298852,0.309914631,0,0,7.41322314,25.00215795,SURF4;RANGRF
positive regulation of cell growth (GO:0030307),4/102,0.036341235,0.322681495,0,0,3.343197279,11.08203781,MTPN;EXOSC9;DNPH1;S100A8
