Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
regulation of mRNA stability (GO:0043488),79/146,2.30E-17,1.03E-14,0,0,4.237355564,162.3459722,CELF1;YWHAB;HNRNPU;YBX1;ELAVL1;PSMD8;PSMD6;ZFP36;PSMD7;XPO1;PSMD4;PSMD2;MEIOC;PSMD1;METTL16;TNPO1;DIS3;RC3H1;YWHAZ;PSMA5;PSMA6;CARHSP1;PSMA3;PSMA4;PSMA1;PDE12;PSMA2;THRAP3;PSME3;PSME4;PSME2;PABPC1;PSMD12;PSMD11;SET;PSMD14;ROCK1;ROCK2;PARN;GIGYF2;PSMA7;PSMB10;ZFP36L1;FXR1;EXOSC7;PSMB6;PSMB7;PSMB4;RIDA;LARP1;PSMB5;UBB;PSMB2;PCBP4;PSMB3;NOCT;DND1;UBC;EXOSC8;PSMB1;IGF2BP1;EXOSC3;RPS27A;ZC3H14;EXOSC2;PAIP1;HSPA8;NPM1;YTHDF1;YTHDF2;PUM2;PSMB9;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;SERBP1;HNRNPD
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",66/113,5.27E-17,2.17E-14,0,0,5.037826695,188.8292879,RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL8;SMG7;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;MAGOH;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPL37A;RPL27;ETF1;RPL26;PABPC1;RPL28;RPL10;RPL12;RPL11;RPL36A;GSPT1;PPP2CA;RPS15A;RPS3;RPL15;RPS27A;RPL17;RPL41;RPL35A;RPL23A;MAGOHB;PNRC2;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;EIF3E;RPS21;RPS24
ncRNA processing (GO:0034470),97/201,1.51E-16,5.75E-14,0,0,3.35782233,122.3212145,RPL4;RPL5;RPL3;RPL32;RPL31;POP4;RPL34;RPP30;FCF1;RPL8;RPL9;RPL6;RPL7;RPS14;RPS17;RPS16;RPL35;RPL38;RPL37;RPL39;RPS9;RPL21;RPS7;RPL23;RPL22;RPS6;WDR74;WDR75;DICER1;EBNA1BP2;MRTO4;SBDS;RPL27;RPL26;RPL28;NOLC1;SNU13;RPF1;EMG1;LYAR;MDN1;RPL41;WDR55;RPS25;RPS28;LIN28B;RPS27;LIN28A;RPL27A;AGO2;MPHOSPH10;NOL11;RPS24;DDX47;NVL;RPLP1;WDR3;RPLP0;WDR43;RPL7A;UTP14A;WDR36;UTP11;DIS3;TEX10;RPL13A;DDX52;SENP3;MRPL44;C1D;RPL37A;DDX27;RPL10;RPL12;HEATR1;RPL11;SRRT;RPL36A;NOL8;EXOSC7;PES1;BMS1;EXOSC8;RPL15;EXOSC3;EXOSC2;RPL17;UTP6;NOP58;SSB;WDR18;RPL35A;RPL23A;RRP1B;WDR12;HNRNPA2B1;ESF1
"mRNA splicing, via spliceosome (GO:0000398)",119/274,1.39E-15,4.91E-13,0,0,2.769034669,94.72945486,EIF4A3;HNRNPU;EFTUD2;PNN;SNRPD2;SNRPD1;MAGOH;RAVER2;PAPOLA;SNRPD3;TXNL4A;SRRM2;IK;SCAF11;PRPF4B;ZCRB1;WBP11;GTF2F2;SRRM1;WDR77;DDX39B;CLNS1A;SNRPG;GEMIN5;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SNRPF;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF9;DDX5;DHX9;DDX1;SNU13;PRPF8;ZMAT2;PCBP1;PCBP2;SRPK2;HSPA8;CPSF3;NONO;CPSF2;CWC15;MAGOHB;LSM5;LSM3;SRPK1;HNRNPL;SMU1;LSM8;LSM7;HNRNPK;HNRNPD;RNPS1;HNRNPC;CDK13;ISY1;DDX46;CELF4;PPWD1;YBX1;ELAVL1;SYNCRIP;UBL5;PTBP1;SNRNP70;DHX15;BCAS2;RBM17;BUD31;PRPF40B;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH2;SNRPA1;PABPC1;DNAJC8;SF3B2;SF3B6;SRRT;SRSF1;U2AF1;FIP1L1;POLR2B;TRA2B;POLR2F;POLR2G;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;POLR2K;HNRNPA0;POLR2L;SF3A3;SF3A1;HNRNPA3;PPIL1;U2SURP;PHF5A;HNRNPA2B1;PPIL3
mRNA processing (GO:0006397),127/300,1.72E-15,5.66E-13,0,0,2.649576279,90.0824477,TCERG1;EIF4A3;HNRNPU;EFTUD2;PNN;SNRPD2;SNRPD1;MAGOH;RAVER2;PAPOLA;SNRPD3;TXNL4A;SRRM2;IK;SCAF11;THOC1;PRPF4B;ZCRB1;WBP11;GTF2F2;THOC7;SRRM1;DDX39B;SARNP;SNRPG;GEMIN5;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SNRPF;SRSF5;AURKAIP1;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF9;DDX5;DHX9;SNU13;PRPF8;ZMAT2;PCBP1;PCBP2;HSPA8;CPSF6;CPSF3;NONO;CPSF2;CWC15;MAGOHB;LSM5;LSM3;HNRNPL;SMU1;LSM8;CDK7;LSM7;HNRNPK;SON;HNRNPD;RNPS1;HNRNPC;MNAT1;ISY1;DDX46;CELF1;PPWD1;YBX1;ELAVL1;SYNCRIP;UBL5;PTBP1;SNRNP70;DHX15;BCAS2;RBM17;BUD31;PRPF40B;PRPF40A;WDR33;KIN;SFPQ;HNRNPH1;SYF2;HNRNPH2;SNRPA1;PABPC1;DNAJC8;SF3B2;RNMT;POLDIP3;SF3B6;SRRT;SRSF1;U2AF1;FIP1L1;POLR2B;TRA2B;POLR2F;POLR2G;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;POLR2K;HNRNPA0;POLR2L;SF3A3;SF3A1;HNRNPA3;PPIL1;GTF2H3;GTF2H5;U2SURP;PHF5A;HNRNPA2B1;PPIL3
cellular macromolecule biosynthetic process (GO:0034645),131/314,2.45E-15,7.58E-13,0,0,2.58442559,86.94777453,RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS14;RPS17;RPS16;PCLAF;RPL35;RPL38;RPL37;RPL39;RPS13;TIPIN;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18B;MRPS18A;MRPS18C;TUFM;EEF1A1;RPL27;RPL26;RPL28;RHNO1;SET;MRPL18;MRPL13;GSPT1;MRPL11;ORC4;ORC2;EIF4EBP2;RPL41;MRPL28;MRPL23;EEF2;MRPL24;EXT1;RPS26;RPS25;POLA2;RPS28;RPS27;FUBP3;RPS29;RPL27A;AGO2;CDK1;RNPS1;RPS21;RSL24D1;RPS24;EIF4G2;FARSB;MRPS17;HBS1L;MRPS16;MCM7;MRPS14;RPLP1;RPLP0;MRPL36;MRPL34;MRPL41;RPS4X;MRPL42;RPL7A;MRPL9;RFC4;RFC2;PABPC4;MRPS21;RPL13A;MLF1;MRPL52;EEF1G;KIN;MRPL51;DBF4;EEF1D;RPL37A;MCM4;RBMS1;MRRF;PTMA;MCM2;RPL10;MRPS33;RPL12;RPL11;RPL36A;RRBP1;MRPL55;TBRG1;RPS15A;POLR2B;RPS3;POLR2F;POLR2G;RPL15;POLR2H;RPS27A;POLR2I;RPL17;POLR2J;POLR2K;ABCF1;POLR2L;DUT;RPA1;RPL35A;NAP1L1;RPL23A;GOLPH3;RPA3;DRG1;RAD1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",111/251,2.70E-15,7.86E-13,0,0,2.857057942,95.84479525,EIF4A3;HNRNPU;EFTUD2;PNN;SNRPD2;SNRPD1;MAGOH;RAVER2;PAPOLA;SNRPD3;TXNL4A;SRRM2;IK;PRPF4B;ZCRB1;WBP11;GTF2F2;SRRM1;DDX39B;SNRPG;GEMIN5;PPIE;SNRNP27;SRSF3;GEMIN6;PPIH;SNRPE;SNRPF;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF9;DDX5;DHX9;SNU13;PRPF8;ZMAT2;PCBP1;PCBP2;HSPA8;CPSF3;NONO;CPSF2;CWC15;MAGOHB;LSM5;LSM3;HNRNPL;SMU1;LSM8;LSM7;HNRNPK;HNRNPD;RNPS1;HNRNPC;ISY1;DDX46;PPWD1;YBX1;ELAVL1;SYNCRIP;UBL5;PTBP1;SNRNP70;DHX15;BCAS2;RBM17;BUD31;PRPF40B;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH2;SNRPA1;PABPC1;DNAJC8;SF3B2;SF3B6;SRRT;SRSF1;U2AF1;FIP1L1;POLR2B;TRA2B;POLR2F;POLR2G;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;POLR2K;HNRNPA0;POLR2L;SF3A3;SF3A1;HNRNPA3;PPIL1;U2SURP;PHF5A;HNRNPA2B1;PPIL3
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),47/75,3.92E-14,1.08E-11,0,0,6.002993963,185.314713,PSMD12;PSMD11;PSMD14;HIF3A;LIMD1;RBPJ;HIGD1A;HIF1A;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;PSMB1;UBC;EP300;PSMD1;ELOB;ELOC;RPS27A;EGLN1;EGLN3;RBX1;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;PSME2
nuclear-transcribed mRNA catabolic process (GO:0000956),82/171,5.12E-14,1.33E-11,0,0,3.308662274,101.2546317,RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;EIF4A3;RPLP0;RPL8;SMG7;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;ZFP36;RPS16;MAGOH;RPL35;RPL38;RPL37;RPL39;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RC3H1;RPL13A;PDE12;THRAP3;CSDE1;MRTO4;RPL37A;RPL27;ETF1;RPL26;PABPC1;RPL28;DDX5;RPL10;RPL12;RPL11;PARN;RPL36A;GSPT1;ZFP36L1;EXOSC7;PPP2CA;RPS15A;EXOSC8;RPS3;POLR2G;RPL15;RPS27A;RPL17;RPL41;LSM1;RPL35A;RPL23A;MAGOHB;PNRC2;RPS26;RPS25;CNOT6;RPS28;CNOT7;RPS27;RPS29;RPL27A;RNPS1;EIF3E;CNOT9;RPS21;RPS24
pre-replicative complex assembly (GO:0036388),42/64,8.60E-14,2.13E-11,0,0,6.822186073,205.2397888,PSMD12;PSMD11;MCM7;PSMD14;GMNN;PSMA7;PSMB10;PSMD8;PSMB6;ORC4;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;UBB;PSMB3;PSMD2;ORC2;PSMB1;UBC;PSMD1;RPS27A;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;MCM4;PSME2;MCM2
regulation of mRNA catabolic process (GO:0061013),64/122,1.65E-13,3.82E-11,0,0,3.954044191,116.3695444,YWHAB;ELAVL1;PSMD8;PSMD6;ZFP36;PSMD7;XPO1;PSMD4;PSMD2;PSMD1;TNPO1;DIS3;RC3H1;YWHAZ;PSMA5;PSMA6;CARHSP1;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME2;PABPC1;PSMD12;PSMD11;SET;PSMD14;PARN;PSMA7;PSMB10;ZFP36L1;FXR1;EXOSC7;PSMB6;PSMB7;PSMB4;PSMB5;UBB;PSMB2;PCBP4;PSMB3;UBC;EXOSC8;PSMB1;IGF2BP1;EXOSC3;RPS27A;ZC3H14;EXOSC2;HSPA8;YTHDF1;YTHDF2;PUM2;PSMB9;CNOT7;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;SERBP1;HNRNPD
regulation of cellular amine metabolic process (GO:0033238),36/51,1.70E-13,3.82E-11,0,0,8.568522337,251.9616074,PSMD12;PSMD11;PSMD14;ODC1;OAZ1;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;PSMD1;AZIN1;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;PSME2
regulation of cellular amino acid metabolic process (GO:0006521),37/54,3.39E-13,7.31E-11,0,0,7.771256807,223.1273997,PSMD12;PSMD11;PSMD14;ODC1;OAZ1;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;PSMD1;AZIN1;PSMB9;PSMA5;BCKDK;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;PSME2
translational elongation (GO:0006414),55/104,5.39E-12,1.11E-09,0,0,4.016125548,104.204905,MRPS17;MRPS16;GFM2;MRPS14;MRPL36;MRPL34;EEF1B2;MRPL41;MRPL42;MRPL1;MRPL40;RACK1;MRPL9;CHCHD1;MRPS28;MRPS27;MRPS25;MRPS23;MRPS18B;MRPS18A;MRPS21;MRPL47;MRPL45;MRPS18C;TUFM;MRPL44;EEF1A1;EEF1G;MRPL52;MRPL50;MRPL51;NEMF;EEF1D;AURKAIP1;DAP3;MRPL18;MRPS33;MRPL16;MRPL14;MRPL15;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;PTCD3;MRPL28;EEF2;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
translational termination (GO:0006415),52/96,6.05E-12,1.20E-09,0,0,4.226990531,109.188681,MRPS17;MRPS16;GFM2;MRPS14;MRPL36;MRPL34;MRPL41;MRPL42;TRMT112;MRPL1;MRPL40;MRPL9;CHCHD1;MRPS28;MRPS27;MRPS25;MRPS23;MRPS18B;MRPS18A;MRPS21;MRPL47;MRPL45;MRPL44;MRPS18C;MRPL52;MRPL50;MRPL51;ETF1;AURKAIP1;MRRF;DAP3;MRPL18;MRPS33;MRPL16;MRPL14;MRPL15;MRPL12;MRPL13;MRPL57;GSPT1;MRPL54;MRPL11;MRPL55;MRPL20;PTCD3;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30;ABCE1
regulation of translation (GO:0006417),80/178,7.29E-12,1.39E-09,0,0,2.928460438,75.09823858,TRIM71;APP;RPL5;DDX3X;EIF4A3;NAT10;YBX1;ELAVL1;RBM3;RPS4X;SYNCRIP;RPS6KA1;ENC1;RACK1;SOX4;EIF2A;EIF5B;DAPK1;RPL13A;LARP4B;PUS7;ILF3;IMPACT;NEMF;NCL;CSDE1;GEMIN5;ETF1;RPL26;EIF4E2;GAPDH;DDX6;GRB7;MTPN;RPL10;DHX9;DDX25;POLDIP3;DDX1;NOLC1;RPS27L;MRPL13;THBS1;GIGYF2;GSPT1;FXR1;ATXN2;RIDA;LARP1;EIF4H;IGF2BP1;RPS3;METTL5;PAIP2;EIF4E;EIF4B;PAIP1;NPM1;YTHDF1;EEF2;LARP4;PUM3;DHFR;CNOT7;EIF5;LIN28A;EIF6;RPS6KB1;CAPRIN1;HNRNPD;EIF3H;EIF3E;CALR;EIF3C;CNOT9;EIF4G3;EIF3D;EIF4G2;METAP1;EIF3B
negative regulation of cell cycle G2/M phase transition (GO:1902750),36/57,2.71E-11,4.80E-09,0,0,6.118016691,148.8524009,PSMD12;PSMD11;PSMD14;FHL1;CUL1;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;PSMD1;RBX1;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;PSME2
