Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
negative regulation of cellular component organization (GO:0051129),5/80,0.001218461,0.054638335,0,0,6.778694158,45.48616746,CDC42;IMPACT;HSPA5;CLU;CRYAB
negative regulation of cellular response to growth factor stimulus (GO:0090288),5/80,0.001218461,0.054638335,0,0,6.778694158,45.48616746,NEDD4;SPRY4;LRP2;THBS1;SKIL
cellular component assembly (GO:0022607),9/261,0.001250525,0.054638335,0,0,3.67462406,24.56189124,CDC42;CALD1;PKP2;SLC2A1;FLNA;PARVA;YWHAZ;ACTB;AIF1L
positive regulation of endocytosis (GO:0045807),4/48,0.001314095,0.055980468,0,0,9.210722611,61.10952186,CDC42;RAB31;GPC3;CLU
hexose import across plasma membrane (GO:0140271),06-Feb,0.001439228,0.058391523,0,0,50.24619289,328.7934315,SLC2A1;SLC2A3
membrane raft assembly (GO:0001765),06-Feb,0.001439228,0.058391523,0,0,50.24619289,328.7934315,ANXA2;S100A10
DNA methylation (GO:0006306),23-Mar,0.001483757,0.05869224,0,0,15.13852041,98.59987994,DNMT3L;DNMT3A;DNMT3B
vascular transport (GO:0010232),5/84,0.001515527,0.05869224,0,0,6.434164165,41.77054118,SLC2A1;SLC1A3;SLC2A3;LRP2;SLC38A2
transport across blood-brain barrier (GO:0150104),5/86,0.001682565,0.063290432,0,0,6.274659539,40.07898541,SLC2A1;SLC1A3;SLC2A3;LRP2;SLC38A2
positive regulation of cell motility (GO:2000147),8/221,0.001708545,0.063290432,0,0,3.851830003,24.54429769,CAVIN1;HSPA5;PDPN;SEMA3E;LAMB1;ACTN4;F3;THBS1
ventricular cardiac muscle tissue development (GO:0003229),25-Mar,0.001899,0.068848843,0,0,13.76089981,86.23168732,ID2;TPM1;PKP2
regulation of morphogenesis of an epithelium (GO:1905330),07-Feb,0.002001732,0.069611247,0,0,40.19492386,249.7609083,GJA1;FOXP1
positive regulation of cytoplasmic translation (GO:2000767),07-Feb,0.002001732,0.069611247,0,0,40.19492386,249.7609083,LIN28A;PKM
regulation of cell motility (GO:2000145),6/133,0.002168859,0.072909016,0,0,4.815960181,29.53895186,BEX4;INPP5F;CAVIN1;TMSB4X;FLNA;AMOTL2
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),4/55,0.002182136,0.072909016,0,0,7.943690297,48.67457337,BEX3;PLAUR;SFN;THBS1
positive regulation of cellular component movement (GO:0051272),27-Mar,0.002380027,0.07799166,0,0,12.61288265,76.18992591,CAVIN1;PDPN;ACTN4
cell-cell adhesion mediated by cadherin (GO:0044331),08-Feb,0.002651521,0.079266531,0,0,33.49407783,198.7076941,AFDN;CTNND1
coronary vasculature morphogenesis (GO:0060977),08-Feb,0.002651521,0.079266531,0,0,33.49407783,198.7076941,SPRED1;LRP2
cytoplasmic sequestering of NF-kappaB (GO:0007253),08-Feb,0.002651521,0.079266531,0,0,33.49407783,198.7076941,TMSB4X;G3BP2
establishment of Golgi localization (GO:0051683),08-Feb,0.002651521,0.079266531,0,0,33.49407783,198.7076941,CDC42;YWHAZ
positive regulation of homotypic cell-cell adhesion (GO:0034112),08-Feb,0.002651521,0.079266531,0,0,33.49407783,198.7076941,PDPN;PLAUR
supramolecular fiber organization (GO:0097435),10/351,0.002797419,0.080959098,0,0,3.019441729,17.75147325,CDC42;COL18A1;MARCKS;TPM4;PLA2G1B;TPM2;TPM1;STMN2;RHOBTB3;ALDOA
neuron projection morphogenesis (GO:0048812),6/140,0.002803161,0.080959098,0,0,4.562756167,26.81535211,CDC42;IMPACT;MAP1B;S100A6;LRP2;ACTB
dicarboxylic acid transport (GO:0006835),29-Mar,0.002930148,0.083216212,0,0,11.64148352,67.90130694,GJA1;PDPN;SLC1A3
receptor-mediated endocytosis (GO:0006898),6/143,0.003113845,0.084869748,0,0,4.462161038,25.75513352,RAB31;INPP5F;NEDD4;LRP2;PDLIM7;HSP90B1
glucose metabolic process (GO:0006006),4/62,0.003381836,0.084869748,0,0,6.982493369,39.72575459,TPI1;PGK1;ENO1;ALDOA
actin-mediated cell contraction (GO:0070252),09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,PDPN;PARVA
ATF6-mediated unfolded protein response (GO:0036500),09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,HSPA5;HSP90B1
bone cell development (GO:0098751),09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,ANXA2;FOXP1
"fructose 1,6-bisphosphate metabolic process (GO:0030388)",09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,PFKL;ALDOA
L-ascorbic acid metabolic process (GO:0019852),09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,SLC2A1;SLC2A3
positive regulation of ATP biosynthetic process (GO:2001171),09-Feb,0.003386821,0.084869748,0,0,28.70775925,163.2858182,TMSB4X;ENO1
cell junction assembly (GO:0034329),5/102,0.003542484,0.087483952,0,0,5.235412903,29.54305342,CDC42;CTNND1;PKP2;FLNA;ACTB
dicarboxylic acid biosynthetic process (GO:0043650),10-Feb,0.004205882,0.094042156,0,0,25.1180203,137.4275019,GLUD1;GLS
fructose 6-phosphate metabolic process (GO:0006002),10-Feb,0.004205882,0.094042156,0,0,25.1180203,137.4275019,PFKL;GFPT2
genetic imprinting (GO:0071514),10-Feb,0.004205882,0.094042156,0,0,25.1180203,137.4275019,DNMT3L;DNMT3A
modulation by symbiont of host process (GO:0044003),10-Feb,0.004205882,0.094042156,0,0,25.1180203,137.4275019,PGK1;ENO1
positive regulation of receptor recycling (GO:0001921),10-Feb,0.004205882,0.094042156,0,0,25.1180203,137.4275019,ANXA2;INPP5F
cell-cell junction assembly (GO:0007043),4/66,0.004236895,0.094042156,0,0,6.530686518,35.68317869,GJA1;CTNND1;PKP2;ACTB
actin filament bundle assembly (GO:0051017),3/33,0.004249558,0.094042156,0,0,10.0872449,55.08584333,CALD1;HSP90B1;AIF1L
apoptotic mitochondrial changes (GO:0008637),3/33,0.004249558,0.094042156,0,0,10.0872449,55.08584333,BNIP3;SFN;CLU
negative regulation of cellular process (GO:0048523),13/566,0.004497983,0.098263632,0,0,2.432713061,13.14668832,COL18A1;BNIP3;FHL1;ENO1;CLU;PTPN14;GJA1;IMPACT;PDPN;TXNIP;MYH9;ARID2;CRYAB
regulation of transmembrane transport (GO:0034762),3/34,0.004627025,0.09855563,0,0,9.761356155,52.4755005,NEDD4;SLC2A1;ACTB
ventricular cardiac muscle tissue morphogenesis (GO:0055010),3/34,0.004627025,0.09855563,0,0,9.761356155,52.4755005,TPM1;PKP2;LRP2
negative regulation of gene expression (GO:0010629),9/322,0.005082769,0.104846959,0,0,2.949251724,15.57765017,LARP1;LIN28A;SFMBT2;ID2;NOCT;ENC1;DNMT3A;DNMT3B;FOXP1
regulation of gene expression by genetic imprinting (GO:0006349),11-Feb,0.005106982,0.104846959,0,0,22.32600113,117.8175815,DNMT3L;DNMT3A
glutamine family amino acid biosynthetic process (GO:0009084),11-Feb,0.005106982,0.104846959,0,0,22.32600113,117.8175815,GLUD1;GLS
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),3/36,0.005441202,0.110378677,0,0,9.168831169,47.80404131,CDC42;FLNA;S100A10
positive regulation of cell migration (GO:0030335),8/269,0.005640695,0.113057415,0,0,3.135744519,16.23609509,HSPA5;GLIPR2;PDPN;SEMA3E;LAMB1;ACTN4;F3;THBS1
positive regulation of protein secretion (GO:0050714),4/72,0.005775696,0.113057415,0,0,5.952639517,30.68047898,GLUD1;PLA2G1B;ACSL4;MYH10
"phagocytosis, engulfment (GO:0006911)",3/37,0.005878455,0.113057415,0,0,8.898709484,45.70787663,CDC42;MYH9;THBS1
regulation of plasminogen activation (GO:0010755),12-Feb,0.006088424,0.113057415,0,0,20.09238579,102.4986136,ENO1;THBS1
glutamine metabolic process (GO:0006541),12-Feb,0.006088424,0.113057415,0,0,20.09238579,102.4986136,GLUD1;GLS
Golgi localization (GO:0051645),12-Feb,0.006088424,0.113057415,0,0,20.09238579,102.4986136,CDC42;YWHAZ
negative regulation of amyloid fibril formation (GO:1905907),12-Feb,0.006088424,0.113057415,0,0,20.09238579,102.4986136,CLU;CRYAB
regulation of protein-containing complex assembly (GO:0043254),5/116,0.006104039,0.113057415,0,0,4.571839881,23.31091831,CDC42;IMPACT;HSPA5;CLU;CRYAB
"negative regulation of transcription, DNA-templated (GO:0045892)",18/948,0.006634199,0.121555651,0,0,2.017929068,10.12095815,CBX5;PEG3;SFMBT2;DNMT3A;ENO1;GLI3;FOXP1;DNMT3L;IMPACT;NR6A1;ID2;RLIM;DNMT3B;FLNA;HDGF;LRRFIP1;CRYAB;SKIL
cytoskeleton organization (GO:0007010),5/120,0.007026753,0.123041474,0,0,4.411922905,21.87444854,CNN2;ABI2;DPYSL2;TPM1;RHOBTB3
regulation of nucleocytoplasmic transport (GO:0046822),13-Feb,0.007148536,0.123041474,0,0,18.26488233,90.2440009,NEDD4;PTPN14
glucose import (GO:0046323),13-Feb,0.007148536,0.123041474,0,0,18.26488233,90.2440009,SLC2A1;SLC2A3
negative regulation of cell morphogenesis involved in differentiation (GO:0010771),13-Feb,0.007148536,0.123041474,0,0,18.26488233,90.2440009,SPRY4;ACTN4
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025),13-Feb,0.007148536,0.123041474,0,0,18.26488233,90.2440009,SPRY4;ACTN4
positive regulation of purine nucleotide biosynthetic process (GO:1900373),13-Feb,0.007148536,0.123041474,0,0,18.26488233,90.2440009,TMSB4X;ENO1
carboxylic acid metabolic process (GO:0019752),3/40,0.007313833,0.124627709,0,0,8.175951462,40.20922981,GLUD1;SLC2A1;SLC2A3
negative regulation of blood vessel morphogenesis (GO:2000181),4/78,0.007648271,0.129036181,0,0,5.468329868,26.64867869,SPRED1;PGK1;SEMA3E;THBS1
regulation of release of cytochrome c from mitochondria (GO:0090199),3/41,0.007834243,0.130877937,0,0,7.960392052,38.6019396,BNIP3;PLAUR;CLU
regulation of lamellipodium organization (GO:1902743),14-Feb,0.008285672,0.134464624,0,0,16.74196277,80.24803624,CDC42;PDPN
cytoplasmic sequestering of transcription factor (GO:0042994),14-Feb,0.008285672,0.134464624,0,0,16.74196277,80.24803624,TMSB4X;G3BP2
negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037),14-Feb,0.008285672,0.134464624,0,0,16.74196277,80.24803624,SPRY4;THBS1
synapse organization (GO:0050808),5/126,0.008587255,0.138044174,0,0,4.191871858,19.94273043,CDC42;PPFIBP1;NEDD4;SEMA3E;PTPRF
negative regulation of transcription by RNA polymerase II (GO:0000122),14/684,0.008702191,0.138584426,0,0,2.160822912,10.2513338,CBX5;PEG3;DNMT3A;ENO1;GLI3;FOXP1;IMPACT;NR6A1;ID2;NEDD4;DNMT3B;HDGF;LRRFIP1;SKIL
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),12/547,0.008842724,0.13951854,0,0,2.310880104,10.92621148,DNMT3L;LARP1;CBX5;LIN28A;SFMBT2;ID2;ENC1;RLIM;ENO1;CRYAB;GLI3;FOXP1
"regulation of gene expression, epigenetic (GO:0040029)",4/82,0.009095632,0.141122204,0,0,5.186850756,24.37799591,DNMT3L;DNMT3A;DNMT3B;ACTB
regulation of amyloid fibril formation (GO:1905906),15-Feb,0.00949821,0.141122204,0,0,15.45333854,71.96081879,CLU;CRYAB
regulation of cytoplasmic translation (GO:2000765),15-Feb,0.00949821,0.141122204,0,0,15.45333854,71.96081879,LIN28A;PKM
regulation of endothelial cell chemotaxis (GO:2001026),15-Feb,0.00949821,0.141122204,0,0,15.45333854,71.96081879,TMSB4X;THBS1
integrated stress response signaling (GO:0140467),15-Feb,0.00949821,0.141122204,0,0,15.45333854,71.96081879,IMPACT;HSPA5
membrane raft organization (GO:0031579),15-Feb,0.00949821,0.141122204,0,0,15.45333854,71.96081879,ANXA2;S100A10
positive regulation of stress fiber assembly (GO:0051496),3/44,0.009524092,0.141122204,0,0,7.37680438,34.33113601,CDC42;TPM1;S100A10
neutrophil mediated immunity (GO:0002446),11/488,0.009918051,0.145692756,0,0,2.370355502,10.93539523,CNN2;PFKL;RAB31;PKM;ANXA2;ANXA3;PLA2G1B;PLAUR;SLC2A3;ALDOA;PRDX6
positive regulation of chemotaxis (GO:0050921),3/45,0.010130825,0.147546381,0,0,7.200801749,33.06732363,TMSB4X;THBS1;F3
negative regulation of cellular amide metabolic process (GO:0034249),4/86,0.010710848,0.148200613,0,0,4.932833021,22.37778809,LARP1;LIN28A;ENC1;CLU
positive regulation of endothelial cell migration (GO:0010595),4/86,0.010710848,0.148200613,0,0,4.932833021,22.37778809,ANXA3;TMSB4X;THBS1;FOXP1
interleukin-12-mediated signaling pathway (GO:0035722),3/46,0.010759542,0.148200613,0,0,7.032985287,31.873224,CDC42;CNN2;ANXA2
positive regulation of nucleocytoplasmic transport (GO:0046824),3/46,0.010759542,0.148200613,0,0,7.032985287,31.873224,NEDD4;FLNA;IPO5
regulation of ATP biosynthetic process (GO:2001169),16-Feb,0.010784552,0.148200613,0,0,14.34880348,64.99492239,TMSB4X;ENO1
epiboly involved in wound healing (GO:0090505),16-Feb,0.010784552,0.148200613,0,0,14.34880348,64.99492239,PDPN;FLNA
glutamine family amino acid catabolic process (GO:0009065),16-Feb,0.010784552,0.148200613,0,0,14.34880348,64.99492239,GLUD1;GLS
negative regulation of angiogenesis (GO:0016525),4/87,0.011141687,0.151883474,0,0,4.873154155,21.91487461,SPRED1;PGK1;SEMA3E;THBS1
cellular response to interleukin-12 (GO:0071349),3/48,0.012083468,0.154417041,0,0,6.719727891,29.6737608,CDC42;CNN2;ANXA2
regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,GMFB;ABI2
cell communication by electrical coupling involved in cardiac conduction (GO:0086064),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,GJA1;PKP2
regulation of receptor recycling (GO:0001919),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,ANXA2;INPP5F
regulation of stem cell proliferation (GO:0072091),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,GJA1;EPCAM
ruffle organization (GO:0031529),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,TPM1;AIF1L
negative regulation of peptidyl-threonine phosphorylation (GO:0010801),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,SPRED1;CALM1
positive regulation of blood coagulation (GO:0030194),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,F3;THBS1
positive regulation of stem cell proliferation (GO:2000648),17-Feb,0.012143124,0.154417041,0,0,13.39153976,59.06997727,GJA1;EPCAM
adherens junction organization (GO:0034332),3/49,0.012778921,0.158943658,0,0,6.573314108,28.65937524,AFDN;CTNND1;ACTB
regulation of smooth muscle cell proliferation (GO:0048660),3/49,0.012778921,0.158943658,0,0,6.573314108,28.65937524,ID2;THBS1;FOXP1
response to glucose (GO:0009749),3/49,0.012778921,0.158943658,0,0,6.573314108,28.65937524,PFKL;LIN28A;THBS1
amino acid transport (GO:0006865),3/50,0.013496844,0.161729588,0,0,6.433130699,27.69655353,SLC7A7;PDPN;SLC38A2
regulation of cellular component movement (GO:0051270),3/50,0.013496844,0.161729588,0,0,6.433130699,27.69655353,INPP5F;PDPN;ACTN4
negative regulation of ERK1 and ERK2 cascade (GO:0070373),3/50,0.013496844,0.161729588,0,0,6.433130699,27.69655353,RPS6KA6;SPRED1;DUSP6
positive regulation of cell morphogenesis involved in differentiation (GO:0010770),3/50,0.013496844,0.161729588,0,0,6.433130699,27.69655353,CDC42;FLNA;S100A10
acidic amino acid transport (GO:0015800),18-Feb,0.013572377,0.161729588,0,0,12.55393401,53.97838387,GJA1;SLC1A3
release of cytochrome c from mitochondria (GO:0001836),18-Feb,0.013572377,0.161729588,0,0,12.55393401,53.97838387,SFN;CLU
positive regulation of actin filament bundle assembly (GO:0032233),3/51,0.014237334,0.167847176,0,0,6.298788265,26.78173959,CDC42;TPM1;S100A10
negative regulation of MAPK cascade (GO:0043409),4/94,0.014471347,0.167847176,0,0,4.492535613,19.02851475,RPS6KA6;SPRED1;SPRY4;DUSP6
positive regulation of epithelial cell migration (GO:0010634),4/94,0.014471347,0.167847176,0,0,4.492535613,19.02851475,GLIPR2;ANXA3;THBS1;FOXP1
positive regulation of cell differentiation (GO:0045597),7/258,0.014964654,0.167847176,0,0,2.839682935,11.93253011,CDC42;GJA1;IMPACT;GLIPR2;ID2;NOCT;PDPN
ameboidal-type cell migration (GO:0001667),3/52,0.015000476,0.167847176,0,0,6.169929196,25.91168704,GPC3;SEMA3E;AMOTL2
sprouting angiogenesis (GO:0002040),3/52,0.015000476,0.167847176,0,0,6.169929196,25.91168704,SEMA3E;PARVA;THBS1
negative regulation of BMP signaling pathway (GO:0030514),3/52,0.015000476,0.167847176,0,0,6.169929196,25.91168704,LRP2;FSTL1;SKIL
negative regulation of protein metabolic process (GO:0051248),3/52,0.015000476,0.167847176,0,0,6.169929196,25.91168704,FLNA;CLU;CRYAB
protein homotetramerization (GO:0051289),3/52,0.015000476,0.167847176,0,0,6.169929196,25.91168704,ALDOA;GLS;ALDH9A1
regulation of cell-cell adhesion mediated by cadherin (GO:2000047),19-Feb,0.015070785,0.167847176,0,0,11.81487011,49.5633466,AFDN;EPCAM
IRE1-mediated unfolded protein response (GO:0036498),3/53,0.015786346,0.172860869,0,0,6.04622449,25.08342677,HSPA5;EDEM1;HDGF
negative regulation of cysteine-type endopeptidase activity (GO:2000117),3/53,0.015786346,0.172860869,0,0,6.04622449,25.08342677,BEX3;SFN;THBS1
regulation of angiogenesis (GO:0045765),6/203,0.016190276,0.172860869,0,0,3.093658768,12.75622079,SPRED1;ANXA3;PGK1;SEMA3E;F3;THBS1
regulation of potassium ion transmembrane transport (GO:1901379),3/54,0.016595009,0.172860869,0,0,5.927370948,24.29423842,NEDD4;FHL1;FLNA
regulation of proteolysis (GO:0030162),3/54,0.016595009,0.172860869,0,0,5.927370948,24.29423842,PERP;PLAUR;CLN6
protein targeting to lysosome (GO:0006622),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,NEDD4;CLU
regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,SPRY4;THBS1
embryonic digestive tract development (GO:0048566),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,ID2;GLI3
glucose transmembrane transport (GO:1904659),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,SLC2A1;SLC2A3
myeloid cell development (GO:0061515),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,ANXA2;FOXP1
positive regulation of protein processing (GO:0010954),20-Feb,0.016636844,0.172860869,0,0,11.15792442,45.70437045,MYH9;ENO1
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),4/100,0.017778332,0.182495644,0,0,4.210470085,16.96724663,SPRED1;PEG10;SKIL;THBS1
positive regulation of translation (GO:0045727),4/100,0.017778332,0.182495644,0,0,4.210470085,16.96724663,LARP1;LIN28A;PKM;THBS1
Rho protein signal transduction (GO:0007266),3/56,0.018280935,0.186531217,0,0,5.703118983,22.82329228,CDC42;PDPN;ARHGAP29
regulation of cell death (GO:0010941),4/102,0.018976694,0.191338973,0,0,4.124123496,16.35026778,IMPACT;BNIP3;CLU;CRYAB
regulation of protein catabolic process (GO:0042176),4/102,0.018976694,0.191338973,0,0,4.124123496,16.35026778,NEDD4;ODC1;GPC3;FLNA
cell projection assembly (GO:0030031),22-Feb,0.019966017,0.196659494,0,0,10.04111675,39.29815577,CDC42;PARVA
regulation of vacuole organization (GO:0044088),22-Feb,0.019966017,0.196659494,0,0,10.04111675,39.29815577,ANXA2;ENO1
glutamate metabolic process (GO:0006536),22-Feb,0.019966017,0.196659494,0,0,10.04111675,39.29815577,GLUD1;GLS
osteoclast differentiation (GO:0030316),22-Feb,0.019966017,0.196659494,0,0,10.04111675,39.29815577,ANXA2;FOXP1
hexose transmembrane transport (GO:0008645),23-Feb,0.021726236,0.209161055,0,0,9.562484892,36.61699897,SLC2A1;SLC2A3
negative regulation of smoothened signaling pathway (GO:0045879),23-Feb,0.021726236,0.209161055,0,0,9.562484892,36.61699897,GPC3;GLI3
nucleotide metabolic process (GO:0009117),23-Feb,0.021726236,0.209161055,0,0,9.562484892,36.61699897,ENPP3;NUDT5
positive regulation of epithelial cell apoptotic process (GO:1904037),23-Feb,0.021726236,0.209161055,0,0,9.562484892,36.61699897,PLA2G1B;THBS1
response to calcium ion (GO:0051592),4/107,0.022187661,0.212403223,0,0,3.922927558,14.93936716,NEDD4;BRAF;CALM1;THBS1
regulation of gene expression (GO:0010468),18/1079,0.022344041,0.212705288,0,0,1.756499914,6.676799739,PEG3;SFMBT2;JMJD1C;BRAF;F3;CLU;FOXP1;ACTA2;AFDN;ACTA1;GJA1;LARP1;ID2;ESRP1;NOCT;RLIM;DNMT3B;SLC38A2
